level_0,level_1,correlacao
IN_RESERVA_DEFICIENCIA,IN_INGRESSO_TOTAL,0.1917273051520571
IN_INGRESSO_TOTAL,IN_RESERVA_DEFICIENCIA,0.1917273051520571
TP_MOBILIDADE_ACADEMICA,TP_SEXO,0.19047619047619047
TP_SEXO,TP_MOBILIDADE_ACADEMICA,0.19047619047619047
IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_ALIMENTACAO,0.18736233046653145
IN_APOIO_ALIMENTACAO,IN_APOIO_BOLSA_PERMANENCIA,0.18736233046653145
IN_RESERVA_DEFICIENCIA,IN_INGRESSO_VAGA_NOVA,0.1860004957839703
IN_INGRESSO_VAGA_NOVA,IN_RESERVA_DEFICIENCIA,0.1860004957839703
IN_DEFICIENCIA_INTELECTUAL,NU_MES_NASCIMENTO,0.1856985957316176
NU_MES_NASCIMENTO,IN_DEFICIENCIA_INTELECTUAL,0.1856985957316176
CO_IES_DESTINO,QT_CARGA_HORARIA_TOTAL,0.18421484592488693
QT_CARGA_HORARIA_TOTAL,CO_IES_DESTINO,0.18421484592488693
IN_APOIO_ALIMENTACAO,IN_RESERVA_VAGAS,0.1841986486717989
IN_RESERVA_VAGAS,IN_APOIO_ALIMENTACAO,0.1841986486717989
TP_COR_RACA,IN_DEFICIENCIA_AUDITIVA,0.18408793477528934
IN_DEFICIENCIA_AUDITIVA,TP_COR_RACA,0.18408793477528934
IN_ATIVIDADE_EXTRACURRICULAR,QT_CARGA_HORARIA_TOTAL,0.18383777976478932
QT_CARGA_HORARIA_TOTAL,IN_ATIVIDADE_EXTRACURRICULAR,0.18383777976478932
CO_IES_DESTINO,NU_DIA_NASCIMENTO,0.18329987167049122
NU_DIA_NASCIMENTO,CO_IES_DESTINO,0.18329987167049122
IN_DEFICIENCIA_BAIXA_VISAO,QT_CARGA_HORARIA_INTEG,0.1824632643042896
QT_CARGA_HORARIA_INTEG,IN_DEFICIENCIA_BAIXA_VISAO,0.1824632643042896
IN_INGRESSO_VAGA_REMANESC,NU_IDADE,0.18200415545698942
NU_IDADE,IN_INGRESSO_VAGA_REMANESC,0.18200415545698942
NU_IDADE,TP_SITUACAO,0.18161806684551662
TP_SITUACAO,NU_IDADE,0.18161806684551662
IN_RESERVA_DEFICIENCIA,IN_DEFICIENCIA_CEGUEIRA,0.1790962637748572
IN_DEFICIENCIA_CEGUEIRA,IN_RESERVA_DEFICIENCIA,0.1790962637748572
IN_MATRICULA,QT_CARGA_HORARIA_TOTAL,0.17887085985376763
QT_CARGA_HORARIA_TOTAL,IN_MATRICULA,0.17887085985376763
IN_APOIO_MATERIAL_DIDATICO,IN_BOLSA_MONITORIA,0.17795884498931264
IN_BOLSA_MONITORIA,IN_APOIO_MATERIAL_DIDATICO,0.17795884498931264
IN_ATIVIDADE_EXTRACURRICULAR,IN_APOIO_TRANSPORTE,0.1764570027772079
IN_APOIO_TRANSPORTE,IN_ATIVIDADE_EXTRACURRICULAR,0.1764570027772079
IN_DEFICIENCIA_AUDITIVA,IN_CONCLUINTE,0.17580538742193133
